source,file,language,translated,fuzzy,untranslated,total,pct_translated,pct_fuzzy,pct_untranslated
HAPI FHIR Core libraries,rendering-phrases,es,5,0,1076,1081,0.5,0.0,99.5
HAPI FHIR Core libraries,rendering-phrases,ja,20,0,1061,1081,1.9,0.0,98.1
HAPI FHIR Core libraries,validator-messages,pt,1305,0,37,1342,97.2,0.0,2.8
HAPI FHIR Core libraries,rendering-phrases,pt_BR,0,0,1081,1081,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,nl,1239,0,103,1342,92.3,0.0,7.7
HAPI FHIR Core libraries,validator-messages,pt_BR,0,0,1342,1342,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,fr,0,0,1342,1342,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,fr,299,0,782,1081,27.7,0.0,72.3
HAPI FHIR Core libraries,rendering-phrases,nl,963,0,118,1081,89.1,0.0,10.9
HAPI FHIR Core libraries,validator-messages,ru,0,0,1342,1342,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,de,5,0,1076,1081,0.5,0.0,99.5
HAPI FHIR Core libraries,validator-messages,ja,871,0,471,1342,64.9,0.0,35.1
HAPI FHIR Core libraries,validator-messages,de,823,0,519,1342,61.3,0.0,38.7
HAPI FHIR Core libraries,rendering-phrases,ru,0,0,1081,1081,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,pt,998,0,83,1081,92.3,0.0,7.7
HAPI FHIR Core libraries,validator-messages,es,697,0,645,1342,51.9,0.0,48.1
